project_key,project_name,project_type,summary,description,issue_type,reporter,priority,duedate
JIUOB,caqEnBfgpBC2pNy,software,8gGtstoOe47FK4geD5Qi,ubh4Ca88diM1bWfTSfLbXT0XtRoXrum7QGhQePW2MywUUlFyCj,Epic,User40,Low,2023-10-1
JIUOB,caqEnBfgpBC2pNy,software,M1aLrKFxgw51g2qXRcgP,UAPJCMd5hAeyWeWepRuCoVMvFdboIc2f5HwQziPCnGTEUISB0y,Bug,User79,Low,2023-3-25
JIUOB,caqEnBfgpBC2pNy,software,Fx1XEAlQW4c lHOOTyVg,S4aDC gt8mpVrg02Zl1ADoOUOevOqwAW3AvgDipAgtQrQQM7aB,Epic,User11,Low,2023-11-26
JIUOB,caqEnBfgpBC2pNy,software,mToeKIffnuYbBFsgBxmx,rhwxzHSC2P2pXdjyDMtFAF0MpvJ4ztUTgWoMQf5SKUn06NZOfy,Bug,User9,Medium,2023-10-28
JIUOB,caqEnBfgpBC2pNy,software,naryE7eVwwbHvbR4hz6x,NY9gMzbebBIgwDLLdLZSCbScsUFCbkiTl4FRL9WDS23ap1hUXw,Bug,User36,High,2023-10-17
JIUOB,caqEnBfgpBC2pNy,software,89kn39Uin4d2l3SsPPHv,EmeM4OTKP3ueU9CcC9N4Dg0Nd7DbJ45Sjukq3A0bf294VhZQFb,Epic,User79,High,2023-2-13
JIUOB,caqEnBfgpBC2pNy,software,3Y7cI EMnEzAUDR0KoLR,EjXN9R7qAEyzPmLM9EFF7sylMs3Ds2gs89x1scY4kv6QeLzmN ,Bug,User78,Medium,2023-7-6
JIUOB,caqEnBfgpBC2pNy,software,IGOnsxeEgAeo1Qso7UGV,hCdFUnbftTDeJBoXDnRmnipPd6PBqnSWAlJt6SegIhO7n8Z8 N,Epic,User64,Medium,2023-6-12
JIUOB,caqEnBfgpBC2pNy,software,7zpOnoX4jfqqFJ26z8Fk,GaMdZNDfple Hg6Qs1xfgHHRvRXIXQMMMAvoT8BaEh2Wi0p9oE,Story,User21,Low,2023-11-4
JIUOB,caqEnBfgpBC2pNy,software,BYcENw6fiFmJ00RDqIvy,hG8LCnnWfLfHvDwCN0cLZA1jQGz6yuWVEExwpKG283bOcTsyU ,Epic,User89,Low,2023-9-2
JIUOB,caqEnBfgpBC2pNy,software,2HwJPN00qYT1g5joX14g,NwXLj0JxBoQ9msRLh GiHsB9zgIZ3S1Ege4oRnxNtsr03MVqx5,Epic,User18,High,2023-8-15
JIUOB,caqEnBfgpBC2pNy,software,yACZyFO2jakaL6SFz2Lf,wM2hUHy4b7HLjEsittHV7EL34ssy1P8JWfWf7FUeY1slE23x1r,Story,User24,Low,2023-7-28
JIUOB,caqEnBfgpBC2pNy,software,QUmkIo5gkJ7peTEbQGas,RW h2xxOkhk4tCoRm2ZK5hXNxOKijnI71UJrs3DfrjG6o96eGM,Bug,User30,Low,2023-10-2
JIUOB,caqEnBfgpBC2pNy,software,wanqIrFctbd3TMEzvcp7,W GHTin0OmhK8lXj22f7NgIGwUmjdal3mt53e98fORAsyuRGUK,Task,User82,Medium,2023-10-12
JIUOB,caqEnBfgpBC2pNy,software,4Xf1 J2ppSm5Nu10z1Zl,V3mh R4akCPf I2Bwjfd6z8y5kggGXMvLW6xhuD6hXCzNiolgx,Story,User17,Medium,2023-10-6
JIUOB,caqEnBfgpBC2pNy,software,GexxxlZZWzSaUK1YDOZw,uyqAL EgrRgr0M5aXk aHGo3hn6XAJz6JTnhfAjKtSFusm0WeV,Task,User50,High,2023-1-7
JIUOB,caqEnBfgpBC2pNy,software,1s5km16WjXRTXyVXHJ0f,E88N1yC9KP4Yga13MuClA1pjBtYAQ52lMo6UcVjnoIhy13jHxL,Task,User86,Low,2023-7-17
JIUOB,caqEnBfgpBC2pNy,software,sgzIcJyvfSW 64x57Ry7,euSsG9cqMS4GIJeE6e hZBUaidLZkODgZaaXG2NzIB2tdnFbez,Epic,User21,Low,2023-4-10
JIUOB,caqEnBfgpBC2pNy,software,pc99sb6eTZTr8mrlJNQU,Q3Vz5evUXcSUYebBFjE422L0OR4hnmh7b uR0kfeka7nbwLDcN,Epic,User20,Low,2023-10-22
JIUOB,caqEnBfgpBC2pNy,software,K2MrtyD4QsKKuK4PE9PM,bZRTacrwdyuBr1e5Iab61ODqVDgD5QNq0CC1BnH6684qu8cJpZ,Story,User10,Low,2023-4-10
JIUOB,caqEnBfgpBC2pNy,software,VYTJ2CoVD1qpnppyv0cD,EJVHVzSjyHyiCH2EgZb3ezpO3fktLH695K4xDhozQztFGmyAWd,Task,User7,High,2023-11-4
JIUOB,caqEnBfgpBC2pNy,software,gGzUsI2X2AzpZsrzFfnY,1RmVYNrBS13Ziny6Cw0TPpUf uCAw7tuqFrdPhnSRzCh3fPLim,Bug,User45,High,2023-9-14
JIUOB,caqEnBfgpBC2pNy,software,a2mbNoSvkHETZsvuswV9,5c 90olPoOWTIYLUBAfK8ekO2ZZDl3VidmwnAMCG0dS exJBb ,Story,User50,Medium,2023-11-13
JIUOB,caqEnBfgpBC2pNy,software,G0OGLMVGDMIoE8ki4NHV,fXeTJk5bwD0MlEa7htqIIO8oAx7jbU6sL7R2vIu ZhgOe1YKeT,Task,User96,Low,2023-12-15
JIUOB,caqEnBfgpBC2pNy,software,wOagj6B04GR96DqdWNZG,1eZ5052DlafwuZ6yZVwwUWFtV3uph687LU9GJogJU5BkCmsVO3,Epic,User86,Medium,2023-3-27
JIUOB,caqEnBfgpBC2pNy,software,LOdUtd43V875p9hmAq2x,jaao1N2D8FFBPwukEHIxbg49Hg1NT6iAOokGT9U5nigUp6vWHY,Story,User38,Low,2023-7-11
JIUOB,caqEnBfgpBC2pNy,software,x7J ZUMe3MNPS2aOs2e0,OJWxGuvowSV0swA3E53N5k 0BX khXwt0irnNQevcUaQX9Fdnn,Task,User93,Low,2023-4-28
JIUOB,caqEnBfgpBC2pNy,software,pOCn5iytDjzp8Yhs0gNw,1ivupaiqa05BeKoylBhv66l XxgTUs JRti0xlYooPOl1F0Ipj,Story,User98,Medium,2023-6-20
JIUOB,caqEnBfgpBC2pNy,software,WNMTF9DRtIAn7qb90ocB,BE3HzKYu6dHvFoqi5TtPCsqOKK8bHwhQvLhhFgr0rS6DH3YjXo,Bug,User81,Medium,2023-12-10
JIUOB,caqEnBfgpBC2pNy,software,7Vqf3uHMNtNSPlbjjzCE,1q J4rGe80fZu2qNHVQKDv4hLfuPtOUvmXryxLtreS5UygEGhL,Task,User10,Medium,2023-5-21
JIUOB,caqEnBfgpBC2pNy,software,RtP73NbZ5jUK4ZUQ VCH,nTy0Yq0khPFVncaC NRurMmh1G0byEodbFsYm45SxIJJT1pzgz,Epic,User69,Low,2023-7-10
JIUOB,caqEnBfgpBC2pNy,software,3 NFpUdwqjAsjh090iYQ,ksIYZkDMx4zxoFKL2JuSQsrZyfT5VDfe8Ee5fgc3PSThZK4cm ,Bug,User27,Low,2023-4-21
JIUOB,caqEnBfgpBC2pNy,software,Hyb6Ww FL6CObaOjehIh,EulUbw4az2zF8D4mWWv6pV9BYP0SM4S4htQygVNsTrbf4c4cs9,Epic,User23,Medium,2023-4-20
JIUOB,caqEnBfgpBC2pNy,software,QqCHY7Q4PQcnBFhlj4K3,bmP6uGVPFYubr9gm1S1XjC8XEgRTPu5XhAEpjCZ1XmMRFRcgwL,Epic,User73,High,2023-2-21
JIUOB,caqEnBfgpBC2pNy,software,rCrzRtdOERQkCqZSs5Uw,rpX4eenyX0kTQ2pwbmduzD9U rjFqXI63clg02m0gUFM2To4jI,Bug,User49,Low,2023-10-28
JIUOB,caqEnBfgpBC2pNy,software,BCuxP KYK7g6pJtz6iu7,T2lAVDoOOQWo5yB6R2jkEVSTOVQVRloGz0tbdh4Eo6Xt6P7kUk,Epic,User32,High,2023-6-3
JIUOB,caqEnBfgpBC2pNy,software,P2TT5lyI1SEBh5hMzDK4,oPOOukfwLWEHepYs7CEIVCrq3MuaH3S81iAvXTeqm5F83eYBpp,Story,User34,Low,2023-7-14
JIUOB,caqEnBfgpBC2pNy,software,x6nlMEung8S2yiXc4lI9,6Qi6J5nlfD8gC zuVb5ibRvbLWTUEl4444 6KtWvdV0E6k1 Hp,Task,User2,High,2023-7-27
EVMUM,gh8CVhRXM6mzVLV,software,QktkbUE85cGcVDFRziYx,xDmTvmoVqzeNPk8ZmLHsgX2PM6aodQ5lfYVHdjC98iFNUvTVJZ,Story,User21,High,2023-10-1
EVMUM,gh8CVhRXM6mzVLV,software,5TpR5niMaC3yxfqxbOxe,IbWWvgI7dnWcD9TatjRalaagnIgUYJ0WOLAdIbVgRSQl6VQvru,Bug,User58,Medium,2023-6-26
EVMUM,gh8CVhRXM6mzVLV,software,85 kgWoJUNgicMRT2DYy,lZmxQsGKu9QHGzwyTEFuSePU 2bi8nxxz3NTiKY20Hy 8KByqv,Story,User13,Low,2023-7-19
EVMUM,gh8CVhRXM6mzVLV,software,YxSnvu5 P1yKP0XLiplR,NmPb4nfNVgRnIFFHo1DpWPpclvS2evHvnU9KKaurWlHWccmKnM,Bug,User85,Medium,2023-2-20
EVMUM,gh8CVhRXM6mzVLV,software,3o9IaVT8fR4YYJ8xV3fr,jdozl6I gxJTT7OCdRUoqB7T3wSpYiNakgSuJuh3bktKFL jNA,Task,User48,High,2023-8-23
EVMUM,gh8CVhRXM6mzVLV,software,JFqkdm 3P9eDZNKe8eQ2,vyV0k11R7C3e3YRYev60HCZyArmCCGWSLxL zZcvv1Gkvo3RIF,Epic,User46,Low,2023-8-5
EVMUM,gh8CVhRXM6mzVLV,software,MQCwFAnD9ySytgX0m4dW,BrEaVWNcaKHaBfo3wmmzgBSFvTSaskpqoPr4bXQlwtieOAxWgO,Story,User38,Low,2023-5-10
EVMUM,gh8CVhRXM6mzVLV,software,SHS2gNhVoz 9RBkXy3Tk,qCa JE1nohSpRw452Ibk5Lsu39jJBnt5AyTF LTtP0Cl5NUqRq,Bug,User49,Low,2023-12-14
EVMUM,gh8CVhRXM6mzVLV,software,K8QYTrFxQFIVQnOKeSMu,cDIYCQLzmyFc8pItisxKp7xj4wS4txSWqEeYObis Py5GpD6oX,Story,User86,Medium,2023-1-22
EVMUM,gh8CVhRXM6mzVLV,software,uwf2WAUCUZRaxdG7u32q,1pt307ad1qq59ENeLgC2W24Yq3n6cTH82DL7DIT4JyJzRMNohD,Epic,User56,Medium,2023-3-24
EVMUM,gh8CVhRXM6mzVLV,software,tOdtXh9NRYYbW9T9liYT,3z4Czb1ppxlHxESujFfN0134hdt6TJgRGw9O6Tl3 cSw5kLrcZ,Task,User52,High,2023-11-28
EVMUM,gh8CVhRXM6mzVLV,software,rFU9AmI1ABU9VXtbbPQv,TQ2o54BZ2gbVKddkkSfNCAomu6Svkw BAID3vPCNVQP1rsGnjA,Epic,User23,Low,2023-6-6
EVMUM,gh8CVhRXM6mzVLV,software,HQMLxgG iWZ4YJ95etWb,9nrVmwRkbmb4uI7jOe7IgQ7Nj3LDdl6DgFtoHHBYh9 GkYrSOV,Epic,User58,High,2023-3-7
EVMUM,gh8CVhRXM6mzVLV,software,NVM2Qi6hvAEAEBiBvq7O,kgudq5NQHbipAkzjcRWvFOyuy3GGBGfWRqwxr SOpbHE74c y4,Story,User61,High,2023-7-19
EVMUM,gh8CVhRXM6mzVLV,software,unj7HZXwYyB AD41Cc8c,5Us9ovN8EK3elBy4dtLrkMELNO9IFNMnyNpQ0wn6V17do14Cka,Epic,User5,High,2023-10-12
EVMUM,gh8CVhRXM6mzVLV,software,NJUy8VFHL2KsZREZW94L,tNhp3pTH8HLSojCi g9wHSeNM3tmn2JIfWrBZBfnBwdj1st4Kh,Story,User11,Medium,2023-2-8
EVMUM,gh8CVhRXM6mzVLV,software,EG2zNDhwTyo6s uH6ERi,QZTV2bgTM5OGPYt8TSbEpb4jcnJNntLnkjHc fNvhCIZRnDEk2,Epic,User56,Low,2023-3-11
EVMUM,gh8CVhRXM6mzVLV,software, CBEjYytjReP7v0uhQeN,rDK hziwpzFmmyJ XrwO va0HqGMpxz L LU5xSqSVsU5swijg,Bug,User82,Medium,2023-7-7
EVMUM,gh8CVhRXM6mzVLV,software,LqQSPnojgIcLd9yai65t,6iZc6KyctKsL rWbDbdrAV3UTxmwrF9dP51iyKwBeMJm5INipU,Story,User67,High,2023-10-26
EVMUM,gh8CVhRXM6mzVLV,software,vXWWqK1bvtX6zJPOqFRd,n7 axbR5OJ4f0zfFn9mEun6ceL8xEVWJnXQlUyKlQwzYRuS14j,Task,User20,Medium,2023-2-14
EVMUM,gh8CVhRXM6mzVLV,software,Y1utx4IWt2Qv5eOWnTkO,VFeLEiLVRtenHJmO5ohcLMFBMfdYnTWvrNJ096APd0k9zK2Dm0,Task,User32,High,2023-10-15
EVMUM,gh8CVhRXM6mzVLV,software,VaYbVcfnLyBKzI0lvKQI,RZ9rX9uZobHVjgqmE0roeWrdaasKUWt98pbp4gBsEv fHyTB C,Epic,User52,Low,2023-4-3
EVMUM,gh8CVhRXM6mzVLV,software,lzhj7ihwhRkodEMZMztK,7Tg1Y8BARVCyL1OUrJI 4KSKL2gwKErMpy 1KC BWW11EL80TH,Story,User33,Low,2023-10-14
EVMUM,gh8CVhRXM6mzVLV,software,iq 3xxlB9UPcuLz16hbz,TCC1VvzU8R 5ogIA12GJCA8PCAKIV1oD1FfLVrxNdztxajWwsO,Task,User32,High,2023-3-28
EVMUM,gh8CVhRXM6mzVLV,software,mbv729Bw3vywsPs22wb6,I8httCvmrnZYtn3zPyRcCUQC9X5n KaDn PGuaZMEyoCKrx9e1,Story,User23,Medium,2023-5-10
EVMUM,gh8CVhRXM6mzVLV,software,PGTl5fLEBTwU7449r30x,KrVx5kqiJWradHCdazJtbQaEzhnXHVqq70zZOEp5vp7NefGE1l,Task,User26,Medium,2023-12-7
EVMUM,gh8CVhRXM6mzVLV,software,C82X6KkXysllOiWGHteE,uaLWaDyPaTnd4YGx20nK8OHk01k M9Nwng1 PPxsyZGCMMaElx,Task,User4,Low,2023-3-4
EVMUM,gh8CVhRXM6mzVLV,software,HejhxloreHajZvWz70Rz,SNSxjgO7DbkpyQ2R0upXgzTTxeB05M1yDthj4RLTfsrO0ptxNQ,Bug,User41,Medium,2023-6-9
EVMUM,gh8CVhRXM6mzVLV,software,hdpWjlNBg9Ng3rc5NCit,IAGTed8x5Xojd2hSDRi2jCuqkbEDLrxZvLPWJqFdZL2l7TbQwV,Epic,User57,High,2023-10-14
EVMUM,gh8CVhRXM6mzVLV,software,RZSfQviq1hp2 Z0CGWcP,zbGEEX9dYI9BNHsSqSXlrAkNR0mXqtFCtw9l9QA0j7YnJPxwjB,Bug,User84,Low,2023-2-22
EVMUM,gh8CVhRXM6mzVLV,software,DZoa hIaZRYeoTYi5rpT,8nQx frTOOZoaY3H1jEJ6MVSMWWQ8FDsaXvwPXXR7ATkLeJVXZ,Task,User49,High,2023-5-3
EVMUM,gh8CVhRXM6mzVLV,software,wjTGOwIe0c KUzD3Cfou,Q5Xv5qxaD1er2NPqDWAB1O6FspLuJ0yQh2SCNMgvVplvf gbC2,Task,User17,High,2023-11-6
EVMUM,gh8CVhRXM6mzVLV,software,8X5ezh0MIFSWluSNheeY,ROmBFGVv0pEDYyz3bJPii1vRuYhA2GAGkhHoAQMkniEOOD6p4q,Story,User56,Medium,2023-12-16
EVMUM,gh8CVhRXM6mzVLV,software,bTaKBPvAE0aned Rqtlv,QuKwsoLBg8mXZG9lOOb9BFpErUeauCSaoFnpt7xy1tGbJ8OsvQ,Epic,User95,Low,2023-11-16
EVMUM,gh8CVhRXM6mzVLV,software,ZtbEJRxlQbDvk9pZqtJK,5LlozI9vRxYA17pJY73IowMqNy3DY9xyHb1xvJSN7OK7O7EPbj,Task,User91,Low,2023-3-13
EVMUM,gh8CVhRXM6mzVLV,software,MSKJJ6kkbF8mZEMnyits,IcarRFPalKmf1kqv2PztDv4VEjmj9P q9EwHzBDUijuThXBmKl,Story,User64,Medium,2023-1-20
EVMUM,gh8CVhRXM6mzVLV,software,S2P8YWGm5EIHa c7jwcr,1ukY1Q4iVal9HNf8qOM446DzUzUrpbaA1RFhLIGFfUcV2qpT70,Bug,User29,High,2023-11-7
EVMUM,gh8CVhRXM6mzVLV,software,8e3NXUPdV5rE0oMt0CFT,QU0XyDjQJFtSa4lePbC7KTtW7b7BN0PCJTfOP8a1rw7uSG lqz,Task,User78,High,2023-4-10
EVMUM,gh8CVhRXM6mzVLV,software,FG0qk7XixEmk8yCewxtU,gSeSQgLzknz3h4A9N7XzuiXsNUkQQa9u5jmzyHslIF8vYaF9fd,Story,User70,High,2023-1-25
EVMUM,gh8CVhRXM6mzVLV,software,a4d87p4J0ACndYltvxws,ZZglY6VQNUlF1m6xZXfuXoIkpXFbGHgKRcgdSGvaPOas0PDDaY,Story,User60,Medium,2023-2-18
EVMUM,gh8CVhRXM6mzVLV,software,c8Tnnvz7FakV IhoYZAn,AVwy9wHC0lJUdid4SXBBwU ntL0P5WhmDfLKpIn9RVP4JM VMZ,Bug,User53,High,2023-9-10
EVMUM,gh8CVhRXM6mzVLV,software,A8Q82GNfbVvfv imASJt,RGz7x5BvWEYOCTtuxkq1d2Remn0YPuFpLZLE7Z3pcf4dUF4GS8,Epic,User57,Low,2023-5-20
EVMUM,gh8CVhRXM6mzVLV,software,imWPOHa7VXFhkf94p4PZ,ZYuNnrrXHDaewHTIa36p4p865As2fNLcKW6nmroaGeOchj1 3P,Task,User32,Medium,2023-4-4
EVMUM,gh8CVhRXM6mzVLV,software,wrh6VP9QjzqnxkmQKZaF,TLD9LTsr1d3FhPgqPVvDgJz1z0bJI1jyhLoV8Wj9AQDayIXx i,Bug,User83,Medium,2023-7-13
EVMUM,gh8CVhRXM6mzVLV,software,c cCUhihVrk1vwiTtEja,lXUkf4FFsIw2IyqD28eiCU2u3sy6IXw8JtjQSRNZyZQJqOcoch,Task,User40,High,2023-10-6
EVMUM,gh8CVhRXM6mzVLV,software,vD3QjLqTdpEudtvS0Wp4,wmRUWI2RuIjkPoyo1SnEuaBwbRP3y0BESY5iebuG7pX8SLDRRR,Bug,User100,High,2023-11-22
EVMUM,gh8CVhRXM6mzVLV,software,mnml58gPh13FdHV09ZCT,ipM9CMCpg5AW1tf8Rw7h77tUN9A4x bTTgFMKLvFAmqC21vWy ,Epic,User72,Medium,2023-10-15
EVMUM,gh8CVhRXM6mzVLV,software,Fsnt5k4Rz1CRH52hag4F,l1cVddGRWutXATAkJRtPD770d5PzNrCL0pSdCMVJREp1iY4iqS,Task,User84,High,2023-7-13
EVMUM,gh8CVhRXM6mzVLV,software,CEYVdU7fXIO5rZOlZtdb,caq4DvriAFDWi1sGSR7SSnLadGuIULdzyamfs1UTZTXj8I1H7W,Story,User17,Low,2023-11-26
EVMUM,gh8CVhRXM6mzVLV,software,th Fic O2B2gDtzLDrho,MeKjUsiJvZUwGyWlYBuExBW0i3WnbABbLnuP8olp0umzjE2450,Epic,User84,Low,2023-5-15
CTXXT,fkCK kBrPrJhQC3,business,p68rwhq3jDuqC3ASWrm3,t45oWacQewu 7e95AJfQpFy66K q6iIQE6ezoMp5YD8fBs7YSi,Story,User16,Medium,2023-8-9
CTXXT,fkCK kBrPrJhQC3,business,3FIlF2lYgC1n3Ys hTgb,7F9nmc83e2AjATYVgvYFHI1RN oPDy7cKRTHwLzaMhCscCEobR,Story,User13,Low,2023-1-3
CTXXT,fkCK kBrPrJhQC3,business,PECTPEI8G3AkVOqtz3pf,0WpuScT3ie7Q7yAK8Mh0CQpXtpuGYnIXw2LFdAVkP92CFAgMgM,Bug,User60,High,2023-10-23
CTXXT,fkCK kBrPrJhQC3,business,N6XrnW8maa erYVCp u0,Ee 6nq5ky0VF1VGqX5JmY7FMGAwiJC8Pn2KD3pUO3KbvKu9Ogr,Bug,User48,High,2023-4-18
CTXXT,fkCK kBrPrJhQC3,business,0Flu7JC6ak5zG07IohQi,  kCWZyf8G1w7Qc2PDnURvG0c62yS peXAA8sXgQxc0zyLJw9e,Story,User21,High,2023-7-27
CTXXT,fkCK kBrPrJhQC3,business,Kg3Hz5yh2K34hl3M9Erc,5z9GaDJh6WpdzGyHA7RhKDnbEok eGLAqRryKPaj5wvRKKABrS,Task,User5,Low,2023-6-21
CTXXT,fkCK kBrPrJhQC3,business,swt9kBr1TWURU3wpjcSg,BARLMUlKHngt5HyLtnAEgNYSO34zqUnZnd74UUMHke8huy8 ix,Task,User5,High,2023-10-5
CTXXT,fkCK kBrPrJhQC3,business,9ir7SXSvN9r m6lICG1F,SpoKt85o2PrKOl4Chodooldb2ydMgzpVG2l2ZMjc6qWL4VN99k,Story,User75,Medium,2023-5-26
CTXXT,fkCK kBrPrJhQC3,business,gC3NBB62 psJN8 33oXp,un4m32TZ6vIewF1InRBBJEE4n4GJ5KJvq0HTHS2x8VbNFGih88,Bug,User100,Medium,2023-6-15
CTXXT,fkCK kBrPrJhQC3,business,uXCWc6V05QCaOiovGsL ,oeNUEOAKRbylpb3qVFRmiyWBSYytVpmlJDm58z5d6Ccnu Z1Gr,Task,User60,High,2023-8-1
CTXXT,fkCK kBrPrJhQC3,business,7P6YyA5jSZloAF GC1IX,r37ULTfhEh6RZcuiFY8QEDyPEjgLiDI9vIBqr84Q1LI1Uc kG5,Epic,User81,Medium,2023-12-22
CTXXT,fkCK kBrPrJhQC3,business,udSfvzPQketgbFeG9beu,BaBfXbqT8qs1XMePwOmf98OKGijnxLfBCcA81x7LqkSD4Z6Te5,Epic,User86,Medium,2023-11-5
CTXXT,fkCK kBrPrJhQC3,business,bOMGtu Mzg9MkuQIOoYm,dGWyyzV9RPOTzZc0D6rRV9EHuxysHrPqPixV7JHpPznKLGVWpL,Epic,User84,Low,2023-8-10
CTXXT,fkCK kBrPrJhQC3,business,l5yQy0cFS 8QpDcqvk4j,S hkTswCAjDeJ8UK0HSzjJZvBC4nvRfeLwjQVWFR6rFYLu2WcT,Story,User7,High,2023-4-23
CTXXT,fkCK kBrPrJhQC3,business,0JTBeXwHgJwBRKMQocrU,aI15svJHPglWko8AKlKs66WKiaJcSxjTzp0HNninoBWsskewGw,Epic,User85,Low,2023-1-18
CTXXT,fkCK kBrPrJhQC3,business,BZ7zyM qFI5O 2lN bZz,7vHoHc iJ zXGPcuRzYjOzQ9Uq CDrRxTlBJJ 4kJZd40ucMyP,Task,User31,Low,2023-6-8
CTXXT,fkCK kBrPrJhQC3,business,c1UISBxA8n LkLZtUi8f,grDUOJP5egHw KaEJ5Vrc3WDUblD5oB7av6Xlyp3Hbmx8Sfed5,Story,User13,High,2023-8-3
CTXXT,fkCK kBrPrJhQC3,business,2At7flZuABJ0UJ044Lr ,Pv8jcdabP52yKlSetBYe7kK3Rs3yIhcNoar9Uoq524kShb3Tvc,Story,User98,Medium,2023-8-17
CTXXT,fkCK kBrPrJhQC3,business,7xy8WIVf1unjNte3ggT9,qPbfmmffOz5GqAdEqKc72SiuzsC4Hy1GX43xORbhw8yHql3O6b,Bug,User92,Low,2023-1-18
CTXXT,fkCK kBrPrJhQC3,business,8XiLWifUGYiEJcqksPgY,rAZvdEzk8mCjvr6UASrq04lgEkZagQYnEDElfPEmf9dTrRICKS,Task,User20,High,2023-6-6
CTXXT,fkCK kBrPrJhQC3,business,ZQcTN EqEWfildjG8L0N,HyZ5 FwfHXohRIJZCrZbMNChCquItCii3F3PHwi6S8M2ruzbLf,Epic,User49,High,2023-2-23
CTXXT,fkCK kBrPrJhQC3,business,JpRzwXIC6kujbIIsgEL9,2fBpdKadbqwBVaLkbBTKTkOjyp1H28lxthk6xKgvuefAZ1Vxpu,Epic,User62,Low,2023-5-25
CTXXT,fkCK kBrPrJhQC3,business,0o7g7Ml4Nw5YeazJcjx5,aflRewx k6VY80simHUHWz6rT12ilyXCUg5U5X4nOtJcvVrR2C,Story,User9,Medium,2023-7-27
CTXXT,fkCK kBrPrJhQC3,business,3JFNu9DFKdOBq6tpri1P,y2Awz9JhZC5h8wNzLjsYNAf0wJySP3XDKE4OV3O0XO6dBTrD5s,Epic,User64,High,2023-1-25
CTXXT,fkCK kBrPrJhQC3,business,tsNIXqn4NOZ4q5uqEaeW,K9A3rOphEj2dp9lqlNkN79Xmu55tK2OXuYfAjfcDqdzqFhGQ o,Bug,User72,Medium,2023-2-10
CTXXT,fkCK kBrPrJhQC3,business,Y tOxOzaS5bYGEH N18D,omPux9yBcibDNGxUmggwezoYmtl8qcwp53sHPnFiH YcuMe5dO,Epic,User44,Low,2023-4-9
CTXXT,fkCK kBrPrJhQC3,business,hNOIiQPHzjjgm6MFKc3Q,xG2i8eWT0TIgvxq3gKi1uoKMJHlFUiLfJmhe53JEtjDHw55l5j,Epic,User48,High,2023-1-28
CTXXT,fkCK kBrPrJhQC3,business,Mg7wnMp8wCK85g4aZytW,J15br5KvOEgrYHv1oqRWvp31p1BrRaH2aVvO68WvalDVAeDbRp,Epic,User54,Medium,2023-12-7
CTXXT,fkCK kBrPrJhQC3,business,PjMDsnp42VvaeyQ cjEQ,Bwtq1BZJ2gvaXkuHHlY7cjgwplP3lNfM14Fdkkh74abHS6zcam,Task,User94,High,2023-7-22
